item,count,mean_Openness,mean_Conscientiousness,mean_Extraversion,mean_Agreeableness,mean_Neuroticism
psychology ,815,0.800920245398773,0.6991411042944785,0.641288343558282,0.7196319018404908,0.6095092024539878
verity by colleen hoover,91,0.7458791208791209,0.6653846153846155,0.6568681318681319,0.7763736263736263,0.6728021978021977
keeper of the lost cities,110,0.7586363636363638,0.6343181818181819,0.6318181818181817,0.7470454545454546,0.6631818181818183
romance,315,0.7784126984126983,0.6261904761904762,0.5871428571428571,0.7242857142857143,0.6781746031746032
gentle reminder,409,0.8305012224938875,0.7097799511002444,0.653239608801956,0.7887530562347189,0.662836185819071
to kill a mocking bird,99,0.7199494949494949,0.6446969696969697,0.6426767676767676,0.7345959595959597,0.6492424242424243
three body problem,132,0.8659090909090909,0.6102272727272727,0.5852272727272727,0.6975378787878787,0.6384469696969697
the love hypothesis,145,0.7843103448275862,0.6068965517241379,0.5934482758620689,0.7575862068965517,0.7456896551724138
brave new world,97,0.8407216494845361,0.6425257731958763,0.6548969072164947,0.6922680412371133,0.6402061855670104
kafka on the shore,107,0.8775700934579439,0.6235981308411215,0.5651869158878505,0.7060747663551402,0.6887850467289721
the hate you give,114,0.7153508771929823,0.6438596491228068,0.624780701754386,0.7473684210526317,0.6671052631578949
malioboro at midnight,137,0.7808394160583941,0.6129562043795621,0.5895985401459855,0.6998175182481752,0.7587591240875912
haunting adeline ,85,0.7911764705882355,0.5782352941176472,0.581764705882353,0.7114705882352941,0.7111764705882353
the invisible life of addie larue,91,0.8549450549450549,0.61510989010989,0.6126373626373627,0.7425824175824175,0.6903846153846153
romeo and juliet,114,0.7346491228070176,0.6326754385964913,0.6585526315789475,0.7177631578947369,0.6572368421052631
the ballad of songbirds and snakes,128,0.8005859375,0.6402343749999999,0.6001953124999999,0.71484375,0.6955078124999999
wattpad,259,0.7714285714285715,0.622104247104247,0.5932432432432433,0.7277992277992278,0.7151544401544403
the witcher,119,0.8144957983193277,0.6077731092436974,0.5533613445378153,0.7151260504201682,0.6619747899159665
the holy bible,92,0.7815217391304349,0.6820652173913043,0.6464673913043478,0.7595108695652174,0.6097826086956524
flowers for algernon,79,0.8610759493670885,0.6094936708860759,0.6139240506329114,0.6765822784810126,0.6784810126582279
east of eden,87,0.8790229885057471,0.6146551724137931,0.6422413793103449,0.7114942528735633,0.6844827586206896
the martian,97,0.7865979381443298,0.6226804123711341,0.6,0.7115979381443298,0.6286082474226804
mindset,155,0.8019354838709678,0.6859677419354838,0.6583870967741936,0.7506451612903225,0.5903225806451613
wuthering heights,102,0.8529411764705881,0.6235294117647058,0.6379901960784312,0.7257352941176471,0.6977941176470587
the maze runner,95,0.726578947368421,0.6028947368421052,0.596578947368421,0.7247368421052631,0.6594736842105263
call me by your name,98,0.8267857142857143,0.5920918367346939,0.6107142857142857,0.7278061224489796,0.7339285714285713
